 147,1536, 803,1282,1510, 763,1242,1390,2361
 148,1554, 811,1293,1527, 771,1253,1408,2377
 149,1571, 820,1305,1545, 779,1265,1427,2393
 150,1589, 828,1316,1563, 788,1277,1445,2409
 151,1607, 837,1328,1581, 797,1288,1464,2425
 152,1624, 846,1340,1599, 806,1300,1483,2441
 153,1642, 855,1352,1617, 815,1312,1502,2458
 154,1661, 864,1364,1635, 824,1324,1521,2474
 155,1679, 873,1376,1654, 833,1337,1540,2490
 156,1697, 882,1388,1672, 842,1349,1560,2506
 157,1716, 891,1401,1691, 851,1361,1579,2522
 158,1734, 900,1413,1710, 860,1374,1599,2538
 159,1753, 910,1426,1729, 870,1386,1618,2554
 160,1772, 919,1439,1748, 879,1399,1638,2570
 161,1791, 929,1452,1767, 889,1412,1658,2586
 162,1810, 939,1465,1786, 898,1425,1678,2602
 163,1829, 948,1478,1805, 908,1438,1699,2618
 164,1848, 958,1491,1825, 918,1451,1719,2634
 165,1868, 968,1504,1844, 928,1464,1740,2650
 166,1887, 979,1517,1864, 938,1478,1760,2666
 167,1907, 989,1531,1884, 949,1491,1781,2682
 168,1926,1000,1544,1904, 959,1505,1802,2698
 169,1946,1010,1558,1924, 970,1518,1823,2715
 170,1966,1021,1572,1944, 980,1532,1844,2731
 171,1986,1032,1585,1964, 991,1546,1866,2747
 172,2007,1043,1600,1985,1002,1560,1887,2763
 173,2027,1054,1614,2005,1013,1575,1908,2779
 174,2047,1065,1628,2026,1024,1589,1930,2795
 175,2068,1076,1643,2047,1036,1604,1952,2811
 176,2089,1087,1658,2068,1047,1619,1973,2827
 177,2110,1099,1673,2089,1058,1633,1995,2843
 178,2131,1110,1688,2110,1070,1648,2018,2859
 179,2152,1122,1703,2131,1082,1663,2040,2875
 180,2173,1134,1718,2153,1093,1679,2062,2891
 181,2194,1146,1733,2174,1106,1694,2085,2907
 182,2215,1158,1749,2196,1118,1709,2108,2923
 183,2237,1171,1764,2217,1130,1725,2130,2939
 184,2258,1183,1780,2239,1143,1741,2153,2956
 185,2280,1196,1796,2261,1155,1757,2176,2972
 186,2302,1209,1812,2283,1168,1773,2199,2988
 187,2324,1222,1829,2305,1181,1790,2223,3004
 188,2346,1235,1845,2328,1194,1806,2246,3020
 189,2368,1248,1862,2350,1208,1823,2269,3036
 190,2391,1262,1879,2373,1221,1840,2293,3052
 191,2413,1275,1896,2396,1234,1857,2317,3068
 192,2436,1289,1913,2419,1248,1875,2340,3084
 193,2459,1303,1931,2442,1262,1892,2364,3100
 194,2481,1317,1948,2465,1276,1910,2388,3116
 195,2504,1331,1966,2488,1291,1927,2413,3132
 196,2527,1346,1984,2511,1305,1946,2437,3148
 197,2551,1361,2003,2534,1320,1964,2462,3164
 198,2574,1376,2021,2558,1335,1983,2486,3180
 199,2597,1391,2040,2581,1350,2002,2511,3197
 200,2621,1406,2059,2605,1365,2021,2536,3213
 201,2644,1422,2078,2629,1381,2040,2561,3229
 202,2668,1437,2097,2653,1396,2059,2586,3245
 203,2692,1453,2117,2677,1412,2079,2611,3261
 204,2716,1469,2137,2701,1428,2099,2637,3277
 205,2740,1486,2157,2726,1445,2119,2662,3293
 206,2764,1503,2178,2750,1462,2140,2688,3309
 207,2788,1520,2199,2775,1479,2161,2713,3325
 208,2813,1537,2220,2800,1496,2182,2739,3341
 209,2838,1554,2241,2825,1513,2203,2765,3357
 210,2862,1572,2262,2850,1531,2225,2791,3373
 211,2887,1590,2284,2875,1549,2247,2818,3389
 212,2912,1608,2307,2900,1567,2269,2844,3405
 213,2937,1627,2329,2925,1586,2292,2871,3421
 214,2962,1646,2352,2950,1605,2315,2897,3437
 215,2988,1665,2376,2976,1624,2338,2924,3454
 216,3013,1684,2399,3001,1643,2362,2951,3470
 217,3038,1704,2423,3027,1663,2386,2978,3486
 218,3064,1725,2448,3053,1683,2411,3005,3502
 219,3090,1745,2473,3079,1704,2436,3032,3518
 220,3115,1766,2498,3105,1725,2461,3059,3534
 221,3141,1787,2523,3132,1746,2487,3087,3550
 222,3168,1809,2550,3158,1767,2513,3114,3566
 223,3194,1831,2577,3185,1789,2540,3142,3582
 224,3220,1854,2604,3211,1812,2567,3170,3598
 225,3247,1877,2631,3238,1835,2595,3198,3614
 226,3273,1901,2660,3265,1858,2624,3226,3630
 227,3300,1925,2689,3292,1882,2653,3254,3646
